filename,target
fault0.wav,0
fault1.wav,0
fault2.wav,0
fault4.wav,0
fault5.wav,0
fault7.wav,0
fault8.wav,0
fault9.wav,0
fault10.wav,0
fault11.wav,0
fault12.wav,0
fault13.wav,0
fault14.wav,0
fault15.wav,0
fault16.wav,0
fault17.wav,0
fault18.wav,0
fault19.wav,0
fault20.wav,0
fault21.wav,0
fault22.wav,0
fault23.wav,0
fault24.wav,0
fault25.wav,0
fault26.wav,0
fault27.wav,0
fault28.wav,0
fault29.wav,0
good0.wav,1
good1.wav,1
good2.wav,1
good5.wav,1
good6.wav,1
good8.wav,1
good9.wav,1
good10.wav,1
good11.wav,1
good12.wav,1
good13.wav,1
good14.wav,1
good15.wav,1
good16.wav,1
good17.wav,1
good18.wav,1
good19.wav,1
good20.wav,1
good21.wav,1
good22.wav,1
good23.wav,1
good24.wav,1
good25.wav,1
good26.wav,1
good27.wav,1
good28.wav,1
good29.wav,1
good30.wav,1
good31.wav,1
good32.wav,1
good33.wav,1
good36.wav,1
other0.wav,2
other1.wav,2
other2.wav,2
other3.wav,2
other4.wav,2
other5.wav,2
other6.wav,2
other7.wav,2
other8.wav,2
other9.wav,2
other10.wav,2
other11.wav,2
other12.wav,2
other13.wav,2
other14.wav,2
other15.wav,2
other16.wav,2
other17.wav,2
other18.wav,2
other19.wav,2
other21.wav,2
other22.wav,2
other23.wav,2
other24.wav,2
other25.wav,2
other26.wav,2
other27.wav,2
other28.wav,2
other29.wav,2
other30.wav,2
other31.wav,2
other32.wav,2
other33.wav,2
